,Name of movie,Year of relase,Watchtime,Genre,Movie Rating,Votes
82,After We Collided,2020,105,"Drama, Romance",5.0,"29,946"
83,The Good Wife,2009–2016,43,"Crime, Drama, Mystery",8.4,"74,286"
84,Jumanji: Welcome to the Jungle,2017,119,"Action, Adventure, Comedy",6.9,"367,182"
85,Mean Girls,2004,97,Comedy,7.1,"372,295"
86,The Good Fight,2017–2022,45,"Crime, Drama",8.3,"25,989"
87,Doom Patrol,2019,60,"Action, Adventure, Comedy",7.8,"50,095"
88,Mission: Impossible III,2006,126,"Action, Adventure, Thriller",6.9,"350,922"
89,The Kids in the Hall,2022,25,Comedy,8.3,"1,365"
90,Black Hawk Down,2001,144,"Action, Drama, History",7.7,"390,117"
91,Goliath,2016–2021,60,Drama,8.2,"47,133"
92,The Tomorrow War,2021,138,"Action, Adventure, Drama",6.5,"196,895"
93,Jumanji: The Next Level,2019,123,"Action, Adventure, Comedy",6.7,"240,146"
94,Good Omens,2019–2022,328,"Comedy, Fantasy",8.0,"73,222"
95,Carnival Row,2019,56,"Crime, Drama, Fantasy",7.8,"59,621"
96,Minority Report,2002,145,"Action, Crime, Mystery",7.7,"541,680"
97,The Man in the High Castle,2015–2019,60,"Drama, Sci-Fi, Thriller",7.9,"98,965"
98,The Devil's Advocate,1997,144,"Drama, Mystery, Thriller",7.5,"363,465"
99,The Tudors,2007–2010,60,"Drama, History, Romance",8.1,"73,875"
100,Spencer,2021,117,"Biography, Drama",6.6,"59,182"
101,A Quiet Place,2018,90,"Drama, Horror, Sci-Fi",7.5,"509,087"
102,Puffins Impossible,2021,***,Animation,8.8,339
103,After We Fell,2021,98,"Drama, Romance",4.6,"12,692"
104,American Gods,2017–2021,60,"Drama, Fantasy, Mystery",7.7,"84,618"
105,The Legend of Tarzan,2016,110,"Action, Adventure, Drama",6.2,"175,303"
106,Venom,2018,112,"Action, Adventure, Sci-Fi",6.6,"468,318"
107,The Untouchables,1987,119,"Crime, Drama, Thriller",7.9,"304,393"
108,Transformers: Age of Extinction,2014,165,"Action, Adventure, Sci-Fi",5.6,"311,102"
109,Tin Star,2017–2020,60,"Crime, Drama, Thriller",7.2,"14,174"
110,21 Bridges,2019,99,"Action, Crime, Drama",6.6,"65,001"
111,The Legend of Vox Machina,2022,30,"Animation, Action, Adventure",8.4,"20,186"
112,Aladdin,2019,128,"Adventure, Comedy, Family",6.9,"258,542"
113,The Terror,2018–2019,60,"Adventure, Drama, History",7.9,"43,969"
114,Undone,2019,23,"Animation, Drama, Fantasy",8.2,"19,205"
115,Pinocchio,2019,125,"Drama, Family, Fantasy",6.2,"12,518"
116,After Ever Happy,2022,119,"Drama, Romance",***,***
117,Godzilla: King of the Monsters,2019,132,"Action, Adventure, Fantasy",6.0,"177,222"
118,The Magicians,2015–2020,60,"Drama, Fantasy, Mystery",7.6,"49,806"
119,Cinderella,I 2021,113,"Comedy, Family, Fantasy",4.2,"40,228"
120,The Meg,2018,113,"Action, Horror, Sci-Fi",5.6,"167,757"
121,Hanna,2019–2021,60,"Action, Drama",7.6,"37,622"
122,It Follows,2014,100,"Horror, Mystery, Thriller",6.8,"234,592"
123,A Star Is Born,2018,136,"Drama, Music, Romance",7.6,"374,313"
124,Hotel Transylvania: Transformania,2022,87,"Animation, Adventure, Comedy",6.0,"27,228"
125,I Want You Back,2022,116,"Comedy, Romance",6.6,"15,682"
126,Parenthood,2010–2015,60,"Comedy, Drama",8.2,"34,600"
127,Hunters,2020,60,"Crime, Drama, Mystery",7.2,"37,466"
128,The Protégé,2021,109,"Action, Thriller",6.1,"29,411"
129,Brahmastra Part One: Shiva,2022,***,"Action, Adventure, Fantasy",***,***
130,The Quick and the Dead,1995,108,"Action, Romance, Thriller",6.5,"93,316"
131,Stargirl,2020,566,"Action, Adventure, Crime",7.1,"16,808"
132,Palm Springs,2020,90,"Comedy, Fantasy, Mystery",7.4,"150,534"
133,The Tender Bar,2021,106,Drama,6.7,"25,396"
134,Modern Love: Mumbai,2022,40,"Comedy, Romance",7.6,"4,818"
135,Blood Diamond,2006,143,"Adventure, Drama, Thriller",8.0,"538,640"
136,The Marksman,2021,108,"Action, Adventure, Drama",5.6,"32,015"
137,Bang Bang Baby,2022,50,Crime,6.5,439
138,Rampage,2018,107,"Action, Adventure, Sci-Fi",6.1,"163,548"
139,Rocketman,I 2019,121,"Biography, Drama, Musical",7.3,"169,907"
140,Batman v Superman: Dawn of Justice,2016,152,"Action, Adventure, Sci-Fi",6.4,"687,751"
141,Paddington 2,2017,103,"Adventure, Comedy, Family",7.8,"74,324"
142,The Fugitive,1993,130,"Action, Crime, Drama",7.8,"289,863"
143,Star Trek: Lower Decks,2020,25,"Animation, Action, Adventure",7.3,"15,541"
144,Greenland,2020,119,"Action, Drama, Sci-Fi",6.4,"112,313"
145,The Legend of Korra,2012–2014,23,"Animation, Action, Adventure",8.4,"118,115"
146,Clarkson's Farm,2021,45,"Documentary, Comedy, Reality-TV",9.0,"33,022"
147,Love Story,1970,100,"Drama, Romance",6.9,"33,910"
148,Them,2021,45,"Drama, Horror, Thriller",7.3,"18,516"
149,The Guernsey Literary and Potato Peel Pie Society,2018,124,"Drama, Romance, War",7.3,"45,303"
150,K.G.F: Chapter 1,2018,156,"Action, Crime, Drama",8.2,"76,712"
151,Little Fires Everywhere,2020,463,Drama,7.7,"43,123"
152,Terminator Genisys,2015,126,"Action, Adventure, Sci-Fi",6.3,"274,482"
153,I Care a Lot,2020,118,"Comedy, Crime, Drama",6.3,"129,052"
154,Modern Love,2019,32,"Comedy, Romance",7.9,"31,526"
155,The Missing,2014–2016,60,"Crime, Drama, Mystery",8.2,"26,210"
156,Masters of Sex,2013–2016,60,"Drama, Romance",7.9,"36,513"
157,Fantastic Mr. Fox,2009,87,"Animation, Adventure, Comedy",7.9,"225,860"
158,Too Old to Die Young,2019,758,"Crime, Drama, Thriller",7.3,"8,806"
159,The Edge of Seventeen,2016,104,"Comedy, Drama",7.3,"123,134"
160,Preacher,2016,60,"Adventure, Drama, Fantasy",7.9,"73,710"
161,Men in Black 3,2012,106,"Action, Adventure, Comedy",6.8,"356,985"
162,Rambo: Last Blood,2019,89,"Action, Crime, Thriller",6.1,"95,813"
163,The Nun,2018,96,"Horror, Mystery, Thriller",5.3,"137,198"
164,The Shannara Chronicles,2016–2017,42,"Adventure, Fantasy, Sci-Fi",7.1,"59,590"
165,The Night Manager,2016,358,"Crime, Drama, Mystery",8.1,"87,117"
166,Signs,2002,106,"Drama, Mystery, Sci-Fi",6.8,"357,988"
167,Escape Room,I 2019,99,"Action, Adventure, Horror",6.4,"118,292"
168,A Very British Scandal,2021,177,"Drama, History",7.0,"4,817"
169,Lovestruck High,2022,***,Reality-TV,4.0,295
170,Chapelwaite,2021,516,"Drama, Horror, Mystery",7.2,"8,399"
171,The Italian Job,2003,111,"Action, Crime, Thriller",7.0,"363,306"
172,Revolutionary Road,2008,119,"Drama, Romance",7.3,"210,907"
173,The Ice Road,2021,109,"Action, Thriller",5.6,"38,481"
174,Breakfast at Tiffany's,1961,115,"Comedy, Drama, Romance",7.6,"177,796"
175,Trolls World Tour,2020,91,"Animation, Adventure, Comedy",6.0,"22,723"
176,Good Joe Bell,2020,94,"Biography, Drama",6.0,"6,670"
177,Shades of Blue,2016–2018,60,"Action, Crime, Drama",6.9,"10,457"
178,Gravity,2013,91,"Action, Drama, Sci-Fi",7.7,"813,444"
179,The Grand Tour,2016,60,"Comedy, Sport, Talk-Show",8.7,"72,497"
180,Paddington,2014,95,"Adventure, Comedy, Family",7.2,"112,494"
181,Cruel Summer,2021,45,"Drama, Mystery, Thriller",7.4,"13,370"
182,Up in the Air,I 2009,109,"Comedy, Drama, Romance",7.4,"332,086"
183,Ace Ventura: Pet Detective,1994,86,Comedy,6.9,"296,989"
184,It's a Sin,2021,239,"Comedy, Drama, History",8.7,"29,697"
185,The Family Man,2019,45,"Action, Comedy, Drama",8.7,"83,088"
186,Leonardo,2021,52,"Biography, Drama, History",7.2,"3,061"
187,The Conjuring 2,2016,134,"Horror, Mystery, Thriller",7.3,"261,934"
188,UnREAL,2015–2018,42,Drama,7.8,"14,675"
189,The Lodge,2019,108,"Drama, Horror, Mystery",6.0,"45,260"
190,Into the Badlands,2015–2019,42,"Action, Adventure, Drama",7.9,"45,836"
191,Boss Level,2020,100,"Action, Mystery, Thriller",6.8,"63,740"
192,Without Remorse,II 2021,109,"Action, Thriller, War",5.7,"56,115"
193,Annabelle,I 2014,99,"Horror, Mystery, Thriller",5.4,"156,194"
194,The Hardy Boys,2020,45,"Adventure, Drama, Family",6.9,"2,295"
195,The Electrical Life of Louis Wain,2021,111,"Biography, Drama, History",6.8,"12,146"
196,Sneaky Pete,2015–2019,60,"Crime, Thriller",8.1,"35,696"
197,Being the Ricardos,2021,131,"Biography, Drama",6.5,"39,306"
198,Jolt,2021,91,"Action, Comedy, Crime",5.6,"29,605"
199,Four Brothers,2005,109,"Action, Crime, Drama",6.8,"145,322"
200,JFK,1991,189,"Drama, History, Thriller",8.0,"153,906"
201,Annabelle: Creation,2017,109,"Horror, Mystery, Thriller",6.5,"130,664"
202,End of Watch,2012,109,"Action, Adventure, Crime",7.6,"244,729"
203,Bloodshot,2020,109,"Action, Adventure, Sci-Fi",5.7,"76,292"
204,Spy Kids,2001,88,"Action, Adventure, Comedy",5.6,"116,211"
205,Queenpins,2021,110,"Comedy, Crime",6.3,"12,484"
